ban1,ban2,ban3,ban4,paddy
1049,984,620,2653,1
1050,986,609,2807,1
1051,983,625,2886,1
1084,1013,711,2858,1
1063,994,641,3174,1
1049,982,607,2894,1
1047,976,602,2807,1
1062,976,609,2944,1
1057,982,625,2709,1
1064,999,619,2533,1
1064,999,619,2533,1
1065,980,623,2438,1
1059,992,646,2762,1
1077,1009,682,2800,1
1105,1032,789,2556,1
1084,1016,712,2714,1
1059,979,652,2977,1
1059,979,652,2977,1
1047,978,621,3182,1
1048,970,591,3220,1
1051,983,600,3150,1
1058,984,610,2948,1
1054,991,616,2848,1
1058,1008,621,2816,1
1054,1002,621,2788,1
1054,992,616,2833,1
1054,992,616,2833,1
1056,986,610,2839,1
1059,976,611,2873,1
1068,986,647,2823,1
1079,989,686,3050,1
1044,991,613,3038,1
1042,981,592,2953,1
1052,965,583,3096,1
1044,977,597,2987,1
1052,995,609,2765,1
1052,995,609,2765,1
1061,996,600,2593,1
1053,977,604,2771,1
1065,996,632,2985,1
1069,1001,676,2618,1
1057,1001,632,2568,1
1046,976,617,2772,1
1048,974,602,2906,1
1048,974,602,2906,1
1063,983,635,2876,1
1061,978,617,3059,1
1044,984,603,3083,1
1037,982,598,3151,1
1051,984,597,3134,1
1063,1003,607,2991,1
1061,1018,616,2911,1
1052,1018,620,2922,1
1052,1018,620,2922,1
1050,1003,618,2865,1
1058,980,614,2832,1
1056,985,608,2992,1
1079,999,655,3028,1
1082,1011,686,3015,1
1043,990,619,2975,1
1047,973,600,2827,1
1045,963,590,2900,1
1052,995,609,2765,1
1052,995,609,2765,1
1061,996,600,2593,1
1053,977,604,2771,1
1065,996,632,2985,1
1073,1012,651,2827,1
1056,1004,599,3044,1
1066,995,642,2767,1
1081,1013,693,2617,1
1057,1001,632,2568,1
1046,976,617,2772,1
1048,974,602,2906,1
1048,974,602,2906,1
1063,983,635,2876,1
1061,978,617,3059,1
1044,984,603,3083,1
1037,982,598,3151,1
1051,984,597,3134,1
1063,1003,607,2991,1
1061,1018,616,2911,1
1052,1018,620,2922,1
1052,1018,620,2922,1
1050,1003,618,2865,1
1058,980,614,2832,1
1056,985,608,2992,1
1079,999,655,3028,1
1082,1011,686,3015,1
1043,990,619,2975,1
1047,973,600,2827,1
1045,963,590,2900,1
1052,969,589,3049,1
1052,969,589,3049,1
1056,987,599,2856,1
1059,973,597,2595,1
1042,986,607,2925,1
1057,1004,632,3192,1
1096,1031,669,2976,1
1098,1039,750,2925,1
1060,1024,613,3048,1
1056,1004,599,3044,1
1066,995,642,2767,1
1081,1013,693,2617,1
1074,1017,665,2622,1
1055,983,628,2618,1
1041,972,612,2847,1
1041,972,612,2847,1
1060,965,626,2831,1
1058,988,621,2931,1
1043,985,610,3003,1
1041,975,595,3120,1
1057,994,588,3168,1
1060,989,605,3146,1
1050,1003,603,3087,1
1051,1024,607,3041,1
1051,1024,607,3041,1
1049,1006,604,3021,1
1046,976,601,3052,1
1053,996,624,3079,1
1065,1018,623,2985,1
1061,1036,664,2942,1
1063,994,644,2932,1
1043,980,598,2905,1
1033,976,597,2925,1
1046,979,584,3093,1
1046,979,584,3093,1
1046,993,593,3091,1
1048,982,594,2628,1
1035,977,602,2783,1
1048,979,612,3199,1
1077,1026,655,3203,1
1107,1055,762,3036,1
1055,1009,615,2862,1
1075,1017,611,2970,1
1052,993,608,2876,1
1059,990,653,2614,1
1080,1003,667,2628,1
1077,993,650,2576,1
1042,982,622,2626,1
1042,982,622,2626,1
1036,968,608,2788,1
1061,991,652,2783,1
1054,991,618,2965,1
1059,991,601,3072,1
1049,986,594,3134,1
1043,984,596,3215,1
1063,995,590,3221,1
1072,1016,607,3193,1
1053,996,601,3253,1
1053,996,601,3253,1
1044,981,613,3244,1
1051,990,614,2899,1
1049,1008,595,2951,1
1059,1023,599,3001,1
1082,999,688,2862,1
1054,977,638,2815,1
1053,976,604,2726,1
